ID	name	boroughID
272	Mnichowice	10
273	Nowojowice	10
274	Nowy Œleszów	10
275	Okrzeszyce	10
276	Pasterzyce	10
277	Polakowice	10
278	Przec³awice	10
279	Rac³awice Ma³e	10
280	Rynakowice	10
281	Rzeplin	10
282	Stary Œleszów	10
283	Suchy Dwór	10
284	Szukalice	10
285	Turów	10
286	Wêgry	10
287	Wilczków	10
288	Wilkowice	10
289	Wojkowice	10
290	¯erniki Wielkie	10
291	¯órawina	10
292	Bogus³awice	11
293	Boguszyce	11
294	Brzezinka	11
295	Bystre	11
296	Cieœle	11
297	D¹browa	11
298	Grêboszyce	11
299	Jenkowice	11
300	Krzeczyn	11
301	Ligota Ma³a	11
302	Ligota Polska	11
303	Ligota Wielka	11
304	Nieciszów	11
305	Nowa Ligota	11
306	Nowoszyce	11
307	Osada Leœna	11
308	Ostrowina	11
309	Piszkawa	11
310	Poniatowice	11
311	Smardzów	11
312	Smolna	11
313	Soko³owice	11
314	Spalice	11
315	Œwierzna	11
316	Wszechœwiête	11
317	Wyszogród	11
318	Zarzysko	11
319	Zimnica	11
320	Syców	12
321	Biskupice	12
322	Dro³towice	12
323	Dzia³osza	12
324	Gaszowice	12
325	Komorów	12
326	Nowy Dwór	12
327	Stradomia Wierzchnia	12
328	Œlizów	12
329	Szczodrów	12
330	Wielowieœ	12
331	Wioska	12
332	Zawada	12
333	Twardogóra	13
334	Bukowinka	13
335	Che³stów	13
336	Che³stówek	13
337	Domas³awice	13
338	Dr¹gów	13
339	Drogoszowice	13
340	Dro¿d¿êcin	13
341	Goszcz	13
342	Gola Wielka	13
343	Grabowno Ma³e	13
344	Grabowno Wielkie	13
345	KuŸnia Goszczañska	13
346	£azisko	13
347	Moszyce	13
348	Nowa Wieœ Goszcz.	13
349	Olszówka	13
350	S¹dro¿yce	13
351	Sosnówka	13
352	D¹browa	13
353	Lucieñ	14
354	Oleœnica	14
355	Rataje	14
356	W¹do³y	14
357	Bartków	15
358	Bia³e B³oto	15
359	Dobra	15
360	Dobroszyce	15
361	Dobrzeñ	15
362	£uczyna Wielka	15
363	Malerzów	15
364	Mêkarzowice	15
365	Miodary	15
366	Nowica	15
367	Nowosiedlice	15
368	Sadków	15
369	Siekierowice	15
370	Strzelce	15
371	Bierutów	16
372	Gorzes³aw	16
373	Jemielna	16
374	Karwiniec	16
375	Kijowice	16
376	Kruszowice	16
377	Paczków	16
378	Posadowice	16
379	Radzieszyn	16
380	S¹tok	16
381	Solniki Ma³e	16
382	Solniki Wielkie	16
383	Stronia	16
384	Strza³kowa	16
385	Wabienice	16
386	Zawidowice	16
387	Zbytowa	16
388	Dalborowice	17
389	Dziadowa K³oda	17
390	Dziadów Most	17
391	Go³êbice	17
392	Gronowice	17
393	Lipka	17
394	Mi³owice	17
395	Radzowice	17
396	Stradomia Dolna	17
397	Miêdzybórz	18
398	B¹ków	18
399	Bukowina Sycowska	18
400	Dzies³awice	18
401	Ha³drychowice	18
